id,verification_status
180000,1
180001,0
180002,0
180003,1
180004,1
180005,0
180006,1
180007,0
180008,0
180009,1
180010,0
180011,0
180012,1
180013,1
180014,1
180015,1
180016,0
180017,1
180018,0
180019,0
180020,1
180021,0
180022,1
180023,1
180024,0
180025,0
180026,1
180027,1
180028,0
180029,1
180030,1
180031,1
180032,0
180033,1
180034,0
180035,1
180036,0
180037,0
180038,1
180039,1
180040,1
180041,1
180042,1
180043,1
180044,1
180045,1
180046,1
180047,1
180048,0
180049,0
180050,0
180051,0
180052,0
180053,1
180054,0
180055,1
180056,1
180057,0
180058,1
180059,0
180060,0
180061,0
180062,1
180063,1
180064,0
180065,0
180066,0
180067,0
180068,0
180069,1
180070,0
180071,0
180072,0
180073,1
180074,1
180075,1
180076,0
180077,0
180078,0
180079,1
180080,1
180081,1
180082,1
180083,0
180084,1
180085,1
180086,0
180087,0
180088,0
180089,0
180090,1
180091,1
180092,0
180093,0
180094,1
180095,1
180096,0
180097,1
180098,0
180099,0
180100,1
180101,0
180102,1
180103,0
180104,1
180105,0
180106,0
180107,1
180108,0
180109,1
180110,1
180111,0
180112,0
180113,0
180114,0
180115,0
180116,1
180117,0
180118,1
180119,1
180120,1
180121,1
180122,1
180123,1
180124,0
180125,1
180126,0
180127,0
180128,1
180129,1
180130,0
180131,1
180132,0
180133,1
180134,1
180135,0
180136,0
180137,0
180138,0
180139,1
180140,1
180141,0
180142,1
180143,0
180144,0
180145,0
180146,1
180147,1
180148,0
180149,0
180150,0
180151,1
180152,0
180153,0
180154,1
180155,0
180156,1
180157,1
180158,1
180159,1
180160,1
180161,1
180162,0
180163,0
180164,1
180165,0
180166,0
180167,1
180168,0
180169,1
180170,0
180171,0
180172,1
180173,0
180174,1
180175,0
180176,1
180177,1
180178,0
180179,0
180180,0
180181,1
180182,0
180183,1
180184,1
180185,1
180186,0
180187,0
180188,0
180189,1
180190,1
180191,1
180192,1
180193,0
180194,1
180195,1
180196,1
180197,1
180198,1
180199,1
180200,0
180201,0
180202,1
180203,1
180204,1
180205,1
180206,0
180207,1
180208,0
180209,0
180210,0
180211,1
180212,0
180213,1
180214,1
180215,1
180216,1
180217,0
180218,0
180219,0
180220,1
180221,1
180222,0
180223,1
180224,0
180225,0
180226,1
180227,1
180228,0
180229,0
180230,0
180231,0
180232,0
180233,1
180234,0
180235,0
180236,1
180237,0
180238,1
180239,0
180240,1
180241,1
180242,0
180243,0
180244,1
180245,0
180246,0
180247,0
180248,0
180249,1
180250,1
180251,0
180252,1
180253,1
180254,0
180255,0
180256,0
180257,0
180258,0
180259,0
180260,0
180261,0
180262,1
180263,1
180264,0
180265,1
180266,1
180267,1
180268,0
180269,0
180270,0
180271,1
180272,0
180273,1
180274,1
180275,0
180276,0
180277,1
180278,0
180279,1
180280,1
180281,1
180282,1
180283,0
180284,0
180285,1
180286,0
180287,1
180288,1
180289,0
180290,0
180291,0
180292,0
180293,0
180294,1
180295,0
180296,1
180297,0
180298,0
180299,1
180300,0
180301,1
180302,1
180303,0
180304,1
180305,1
180306,0
180307,1
180308,0
180309,0
180310,1
180311,0
180312,0
180313,0
180314,0
180315,1
180316,0
180317,1
180318,1
180319,0
180320,1
180321,0
180322,0
180323,1
180324,0
180325,0
180326,1
180327,0
180328,1
180329,0
180330,1
180331,0
180332,0
180333,0
180334,0
180335,1
180336,0
180337,0
180338,0
180339,0
180340,1
180341,0
180342,0
180343,0
180344,1
180345,0
180346,1
180347,1
180348,1
180349,1
180350,0
180351,0
180352,0
180353,0
180354,1
180355,1
180356,1
180357,0
180358,1
180359,0
180360,1
180361,1
180362,0
180363,0
180364,1
180365,0
180366,0
180367,0
180368,1
180369,1
180370,0
180371,0
180372,0
180373,1
180374,1
180375,1
180376,1
180377,0
180378,0
180379,1
180380,1
180381,0
180382,0
180383,1
180384,0
180385,1
180386,0
180387,1
180388,1
180389,0
180390,0
180391,1
180392,1
180393,0
180394,0
180395,1
180396,1
180397,1
180398,0
180399,0
180400,1
180401,1
180402,1
180403,0
180404,1
180405,0
180406,0
180407,0
180408,1
180409,0
180410,0
180411,0
180412,0
180413,1
180414,0
180415,1
180416,1
180417,0
180418,0
180419,1
180420,1
180421,1
180422,1
180423,0
180424,1
180425,1
180426,1
180427,0
180428,0
180429,0
180430,0
180431,1
180432,0
180433,1
180434,1
180435,0
180436,0
180437,1
180438,0
180439,0
180440,1
180441,1
180442,0
180443,1
180444,0
180445,1
180446,0
180447,0
180448,0
180449,0
180450,0
180451,1
180452,0
180453,1
180454,1
180455,0
180456,0
180457,0
180458,0
180459,1
180460,0
180461,0
180462,1
180463,0
180464,0
180465,1
180466,0
180467,0
180468,0
180469,1
180470,1
180471,1
180472,0
180473,0
180474,0
180475,1
180476,0
180477,1
180478,1
180479,0
180480,0
180481,0
180482,1
180483,1
180484,1
180485,0
180486,1
180487,0
180488,0
180489,0
180490,0
180491,1
180492,0
180493,0
180494,1
180495,0
180496,0
180497,1
180498,0
180499,1
180500,1
180501,0
180502,1
180503,0
180504,1
180505,1
180506,0
180507,0
180508,0
180509,0
180510,0
180511,1
180512,0
180513,0
180514,1
180515,0
180516,0
180517,1
180518,0
180519,1
180520,1
180521,1
180522,0
180523,1
180524,0
180525,0
180526,1
180527,1
180528,0
180529,1
180530,1
180531,0
180532,0
180533,1
180534,1
180535,1
180536,0
180537,1
180538,1
180539,1
180540,0
180541,1
180542,0
180543,1
180544,1
180545,0
180546,0
180547,0
180548,0
180549,0
180550,1
180551,0
180552,1
180553,1
